Date,Time,Actual,Forecast,Previous,
6/1/24,10:00,48.5,50,48.7,
5/1/24,10:00,48.7,50,50.3,
4/1/24,10:00,50.3,48.5,47.8,
3/1/24,11:00,47.8,49.5,49.1,
2/1/24,11:00,49.1,47.2,47.1,
1/1/24,11:00,47.4,47.1,46.7,
12/1/23,11:00,46.7,47.6,46.7,
11/1/23,10:00,46.7,49,49,
10/1/23,10:00,49,47.7,47.6,
9/1/23,10:00,47.6,47,46.4,
8/1/23,10:00,46.4,46.8,46,
7/1/23,10:00,46,47.2,46.9,
6/1/23,10:00,46.9,47,47.1,
5/1/23,10:00,47.1,46.8,46.3,
4/1/23,10:00,46.3,47.5,47.7,
3/1/23,11:00,47.7,48,47.4,
2/1/23,11:00,47.4,48,48.4,
1/1/23,11:00,48.4,48.5,49,
12/1/22,11:00,49,49.8,50.2,
11/1/22,10:00,50.2,50,50.9,
10/1/22,10:00,50.9,52.2,52.8,
9/1/22,10:00,52.8,52,52.8,
8/1/22,10:00,52.8,52,53,
7/1/22,10:00,53,54.9,56.1,
6/1/22,10:00,56.1,54.5,55.4,
5/1/22,10:00,55.4,57.6,57.1,
4/1/22,10:00,57.1,59,58.6,
3/1/22,11:00,58.6,58,57.6,
2/1/22,11:00,57.6,57.5,58.8,
1/1/22,11:00,58.7,60,61.1,
12/1/21,11:00,61.1,61,60.8,
11/1/21,10:00,60.8,60.5,61.1,
10/1/21,10:00,61.1,59.6,59.9,
9/1/21,10:00,59.9,58.6,59.5,
8/1/21,10:00,59.5,60.9,60.6,
7/1/21,10:00,60.6,61,61.2,
6/1/21,10:00,61.2,60.9,60.7,
5/1/21,10:00,60.7,65,64.7,
4/1/21,10:00,64.7,61.3,60.8,
3/1/21,11:00,60.8,58.8,58.7,
2/1/21,11:00,58.7,60,60.5,
1/1/21,11:00,60.7,56.6,57.5,
12/1/20,11:00,57.5,58,59.3,
11/1/20,11:00,59.3,55.8,55.4,
10/1/20,10:00,55.4,56.4,56,
9/1/20,10:00,56,54.5,54.2,
8/1/20,10:00,54.2,53.6,52.6,
7/1/20,10:00,52.6,49.5,43.1,
6/1/20,10:00,43.1,43,41.5,
5/1/20,10:00,41.5,36.9,49.1,
4/1/20,10:00,49.1,45,50.1,
